,intelligent,arrogant,nerdy,kind,loud,careful,argumentative,persuasive,immature,active,funny,disorganized,dishonest,gentle,sensitive,creative,helpful,strong,brave,bossy,unconventional,quiet,organized,reliable,ambitious,charming,confident,efficient,friendly,generous,naive,witty,empathetic,stubborn,trustworthy,meticulous,inventive,charismatic,reserved,altruistic,original,impulsive,zealous,rational,idealistic,conservative,solitary,passionate,adventurous,cautious,extravagant,jovial,cooperative,attractive,muscular,shy,social,warm,moody,lazy,hardworking,imaginative,narrow-minded,boring,selfish,narcissistic
construction worker,21.428571428571427,39.523809523809526,5.238095238095238,20.0,80.0,29.047619047619047,70.95238095238095,20.0,45.23809523809524,90.0,22.857142857142858,62.38095238095238,35.714285714285715,19.52380952380953,20.0,20.0,46.666666666666664,89.85714285714286,80.0,20.0,20.0,10.952380952380953,37.61904761904762,69.52380952380952,55.23809523809524,20.0,80.0,59.523809523809526,33.333333333333336,20.0,19.047619047619047,20.0,20.0,77.61904761904762,40.0,20.0,28.095238095238095,20.0,20.0,20.0,20.0,67.61904761904762,42.38095238095238,20.47619047619047,20.0,80.0,20.0,75.71428571428571,40.0,20.0,9.761904761904765,40.0,68.0952380952381,24.761904761904763,80.23809523809524,9.761904761904765,20.0,20.0,37.61904761904762,19.52380952380953,87.0,20.0,67.0952380952381,35.714285714285715,20.0,9.285714285714286
gardener,38.095238095238095,10.0,14.761904761904765,79.04761904761905,20.0,80.0,20.0,20.0,20.0,80.0,20.0,36.19047619047619,5.9523809523809526,77.14285714285714,40.0,64.76190476190476,79.52380952380952,60.0,20.47619047619047,20.0,26.666666666666668,70.0,80.0,80.0,26.666666666666668,52.38095238095238,40.0,61.42857142857143,79.52380952380952,55.714285714285715,65.71428571428571,20.0,68.57142857142857,40.0,80.0,80.0,40.95238095238095,20.952380952380953,70.0,70.0,39.523809523809526,20.0,43.333333333333336,40.0,64.28571428571429,62.857142857142854,68.57142857142857,80.0,21.428571428571427,74.28571428571429,17.61904761904762,69.04761904761905,80.0,20.0,40.95238095238095,40.0,20.0,70.95238095238095,20.0,20.0,80.0,40.95238095238095,20.0,69.85714285714286,19.52380952380953,5.9523809523809526
aerobics instructor,47.61904761904762,48.095238095238095,9.285714285714286,80.0,80.0,77.61904761904762,20.0,73.80952380952381,20.0,95.0,58.095238095238095,18.095238095238095,5.476190476190476,70.0,67.61904761904762,79.52380952380952,82.38095238095238,80.23809523809524,40.0,79.71428571428571,60.95238095238095,10.952380952380953,82.61904761904762,80.0,80.0,80.0,86.38095238095238,80.23809523809524,83.57142857142857,66.66666666666667,45.23809523809524,69.52380952380952,78.0952380952381,38.095238095238095,79.52380952380952,71.42857142857143,70.95238095238095,81.19047619047619,20.0,69.52380952380952,40.0,75.71428571428571,80.47619047619048,40.0,70.95238095238095,13.80952380952381,10.476190476190476,87.61904761904762,80.0,20.47619047619047,69.52380952380952,80.0,80.95238095238095,81.42857142857143,80.0,10.238095238095235,84.61904761904762,80.0,20.0,0.0,88.57142857142857,67.14285714285714,10.0,14.285714285714286,20.0,69.38095238095238
sixteen year old,60.0,66.0952380952381,42.857142857142854,40.0,78.0952380952381,20.0,75.23809523809524,20.0,79.52380952380952,80.0,63.333333333333336,80.0,36.19047619047619,20.0,41.904761904761905,75.23809523809524,36.666666666666664,39.04761904761905,40.0,67.66666666666667,46.19047619047619,20.0,20.0,20.0,59.04761904761905,43.333333333333336,40.0,20.0,59.04761904761905,20.0,80.0,38.57142857142857,32.857142857142854,80.0,28.571428571428573,20.0,65.71428571428571,21.904761904761905,20.0,20.0,40.0,80.0,42.857142857142854,20.0,79.04761904761905,10.476190476190476,20.0,80.0,79.52380952380952,20.0,20.0,20.0,35.714285714285715,60.0,33.80952380952381,65.23809523809524,80.0,40.0,80.0,69.23809523809524,40.0,79.52380952380952,49.523809523809526,37.61904761904762,69.57142857142857,69.14285714285714
politician,40.0,79.52380952380952,20.0,20.0,74.76190476190476,20.0,80.0,85.23809523809524,67.57142857142857,80.0,20.0,68.14285714285714,69.95238095238095,20.0,20.0,20.47619047619047,20.0,70.95238095238095,20.0,80.0,20.0,19.52380952380953,41.904761904761905,20.0,88.19047619047619,39.523809523809526,82.38095238095238,20.0,20.0,20.0,20.0,42.857142857142854,20.0,80.0,20.0,20.0,38.095238095238095,80.0,20.0,20.0,20.0,75.23809523809524,80.0,20.0,35.714285714285715,46.666666666666664,14.285714285714286,80.0,23.333333333333332,20.0,70.19047619047619,39.523809523809526,20.0,24.285714285714285,20.0,5.238095238095238,87.85714285714286,20.0,63.333333333333336,68.95238095238095,40.0,30.0,68.80952380952381,69.66666666666667,77.47619047619048,78.57142857142857
kindergarten teacher,80.0,8.80952380952381,20.0,94.76190476190476,60.95238095238095,89.76190476190476,20.0,80.0,20.0,80.0,72.85714285714286,20.0,4.285714285714286,89.76190476190476,89.52380952380952,84.28571428571429,95.0,37.61904761904762,41.42857142857143,79.52380952380952,20.0,79.04761904761905,90.0,90.71428571428572,39.523809523809526,85.23809523809524,80.0,72.85714285714286,94.52380952380952,89.76190476190476,79.04761904761905,77.61904761904762,94.76190476190476,62.38095238095238,93.8095238095238,87.61904761904762,80.0,80.0,77.14285714285714,91.1904761904762,39.523809523809526,20.0,75.23809523809524,61.42857142857143,81.19047619047619,20.0,12.38095238095238,89.04761904761905,20.0,80.47619047619048,20.0,86.28571428571429,92.38095238095238,62.38095238095238,10.476190476190476,80.0,91.9047619047619,89.76190476190476,20.0,2.380952380952381,91.66666666666669,83.57142857142857,10.238095238095235,61.142857142857146,5.714285714285714,5.714285714285714
drummer,40.0,68.66666666666667,20.0,40.0,82.47619047619048,20.0,60.666666666666664,21.428571428571427,69.71428571428571,89.61904761904762,75.42857142857143,71.14285714285714,19.047619047619047,20.0,21.904761904761905,80.0,40.0,80.0,66.19047619047619,38.095238095238095,80.0,0.9523809523809524,29.047619047619047,34.285714285714285,76.66666666666667,78.0952380952381,80.0,39.523809523809526,74.76190476190476,40.0,37.142857142857146,69.52380952380952,40.0,70.47619047619048,40.0,26.666666666666668,80.0,80.0,20.0,38.095238095238095,70.95238095238095,80.0,80.0,20.0,68.57142857142857,20.0,20.0,85.23809523809524,80.0,20.0,76.19047619047619,79.52380952380952,60.476190476190474,67.61904761904762,62.38095238095238,20.0,80.0,64.76190476190476,79.04761904761905,58.095238095238095,80.0,80.0,19.52380952380953,19.52380952380953,44.142857142857146,69.0952380952381
chef,62.38095238095238,69.85714285714286,13.333333333333334,52.38095238095238,73.80952380952381,80.0,69.52380952380952,34.285714285714285,12.857142857142858,80.0,39.523809523809526,19.047619047619047,9.047619047619047,20.0,20.0,80.71428571428571,80.0,70.95238095238095,40.0,70.0,55.714285714285715,20.0,87.61904761904762,80.0,80.0,68.57142857142857,80.0,80.0,67.14285714285714,69.52380952380952,18.095238095238095,45.23809523809524,39.04761904761905,70.0,69.52380952380952,84.76190476190476,80.0,74.76190476190476,20.0,36.666666666666664,72.38095238095238,69.04761904761905,80.0,40.0,26.666666666666668,20.0,20.0,84.28571428571429,64.76190476190476,25.238095238095237,70.0,78.57142857142857,60.95238095238095,33.80952380952381,35.23809523809524,19.52380952380953,40.0,60.0,70.0,0.0,87.71428571428571,79.52380952380952,18.571428571428573,19.047619047619047,20.47619047619047,46.666666666666664
bartender,39.04761904761905,40.0,9.761904761904765,69.52380952380952,80.0,40.0,70.47619047619048,80.0,59.857142857142854,80.23809523809524,80.0,53.80952380952381,39.523809523809526,21.428571428571427,22.857142857142858,71.42857142857143,80.0,68.80952380952381,39.523809523809526,27.61904761904762,75.23809523809524,20.0,47.61904761904762,40.95238095238095,40.0,80.0,80.0,66.66666666666667,80.47619047619048,67.14285714285714,20.0,80.0,79.52380952380952,42.857142857142854,40.0,27.61904761904762,71.9047619047619,80.0,20.0,40.0,41.904761904761905,75.23809523809524,63.333333333333336,38.57142857142857,20.952380952380953,20.0,20.0,80.0,79.52380952380952,20.0,51.42857142857143,80.57142857142857,80.0,77.14285714285714,40.95238095238095,20.0,88.33333333333333,80.0,66.66666666666667,28.571428571428573,71.9047619047619,53.333333333333336,20.0,20.0,38.095238095238095,40.0
pilot,89.28571428571429,68.57142857142857,20.0,59.04761904761905,20.0,91.42857142857144,20.0,40.0,8.333333333333334,85.47619047619048,20.0,1.1904761904761905,4.285714285714286,31.428571428571427,20.0,22.38095238095238,80.0,80.71428571428571,86.28571428571429,35.714285714285715,27.61904761904762,42.38095238095238,90.0,94.04761904761904,87.71428571428571,77.61904761904762,89.04761904761905,89.52380952380952,70.0,40.0,8.571428571428571,40.0,27.61904761904762,44.285714285714285,90.23809523809524,89.28571428571429,74.76190476190476,80.0,68.57142857142857,45.714285714285715,40.0,20.0,56.19047619047619,89.04761904761905,38.095238095238095,73.33333333333333,56.666666666666664,63.333333333333336,86.9047619047619,86.66666666666667,39.04761904761905,43.333333333333336,80.0,77.61904761904762,39.523809523809526,20.0,20.952380952380953,20.47619047619047,20.0,1.6666666666666667,90.0,40.0,11.904761904761903,20.0,20.0,40.95238095238095
social worker,80.0,18.095238095238095,20.0,90.0,20.0,82.85714285714286,37.142857142857146,79.52380952380952,14.285714285714286,80.0,20.47619047619047,30.0,4.0476190476190474,81.19047619047619,84.04761904761905,65.23809523809524,94.04761904761904,70.47619047619048,80.0,70.0,52.38095238095238,73.33333333333333,80.0,84.76190476190476,80.0,80.0,72.38095238095238,55.23809523809524,90.0,88.33333333333333,70.47619047619048,40.0,94.28571428571428,69.52380952380952,87.14285714285714,80.0,53.333333333333336,72.38095238095238,79.52380952380952,90.71428571428572,40.0,28.095238095238095,80.0,79.04761904761905,82.38095238095238,20.0,18.095238095238095,87.14285714285714,33.80952380952381,80.0,19.52380952380953,80.0,90.47619047619048,40.0,20.0,67.14285714285714,90.0,86.19047619047619,39.523809523809526,0.238095238095238,90.47619047619048,70.47619047619048,5.476190476190476,40.0,0.4761904761904761,7.857142857142857
veterinarian,90.0,20.0,20.0,88.0952380952381,14.761904761904765,89.04761904761905,20.0,40.0,9.285714285714286,80.0,20.0,13.571428571428571,4.761904761904762,80.0,80.0,39.523809523809526,89.66666666666667,64.28571428571429,67.61904761904762,20.47619047619047,20.0,62.38095238095238,83.0,89.76190476190476,80.0,74.28571428571429,80.0,80.0,84.28571428571429,80.0,20.0,40.0,86.04761904761905,32.38095238095238,89.76190476190476,82.61904761904762,60.0,48.57142857142857,57.61904761904762,86.52380952380952,40.0,20.0,70.95238095238095,80.71428571428571,80.0,52.857142857142854,21.428571428571427,83.0952380952381,43.80952380952381,78.57142857142857,20.0,72.38095238095238,81.19047619047619,62.38095238095238,27.142857142857142,33.333333333333336,40.95238095238095,80.0,20.0,0.7142857142857143,89.76190476190476,41.904761904761905,11.19047619047619,20.0,10.952380952380953,8.333333333333334
journalist,80.0,59.714285714285715,20.0,37.61904761904762,40.0,67.14285714285714,68.0952380952381,80.0,24.285714285714285,80.0,20.0,39.523809523809526,36.666666666666664,20.0,28.095238095238095,72.38095238095238,61.42857142857143,41.904761904761905,70.95238095238095,31.428571428571427,49.523809523809526,20.0,61.904761904761905,40.0,80.0,40.0,80.0,59.04761904761905,40.0,20.0,20.0,73.80952380952381,40.0,56.666666666666664,40.0,71.9047619047619,69.52380952380952,61.42857142857143,20.0,39.523809523809526,52.857142857142854,68.0952380952381,73.33333333333333,69.52380952380952,69.52380952380952,20.0,39.04761904761905,80.0,80.0,39.04761904761905,20.0,21.428571428571427,40.0,40.0,19.52380952380953,20.0,60.95238095238095,23.333333333333332,40.0,15.714285714285714,80.0,63.333333333333336,20.0,28.571428571428573,39.04761904761905,40.0
police officer,69.04761904761905,61.04761904761905,9.761904761904765,52.38095238095238,50.0,80.0,45.714285714285715,62.857142857142854,9.285714285714286,85.19047619047619,20.0,15.238095238095235,20.0,20.0,20.0,20.0,80.47619047619048,87.23809523809524,88.28571428571429,70.0,20.0,20.0,81.9047619047619,84.14285714285714,80.0,38.095238095238095,83.19047619047619,80.0,40.0,40.0,4.523809523809524,20.0,37.61904761904762,70.0,80.0,80.0,37.61904761904762,48.57142857142857,40.0,79.04761904761905,20.0,20.952380952380953,80.0,80.0,23.333333333333332,80.0,20.0,72.38095238095238,42.857142857142854,80.0,10.0,37.61904761904762,71.9047619047619,39.523809523809526,80.0,10.476190476190476,40.0,23.333333333333332,35.714285714285715,4.761904761904762,87.38095238095238,20.0,54.142857142857146,38.095238095238095,20.0,20.0
electrician,56.19047619047619,20.0,20.0,40.0,22.857142857142858,80.0,20.0,20.0,11.428571428571429,80.0,20.0,20.0,15.238095238095235,20.0,20.0,20.952380952380953,80.23809523809524,80.0,48.57142857142857,12.61904761904762,20.0,39.04761904761905,80.0,84.28571428571429,60.0,20.0,76.66666666666667,80.0,57.142857142857146,24.285714285714285,14.523809523809524,20.0,20.0,40.0,80.0,80.0,63.80952380952381,20.0,39.04761904761905,21.428571428571427,20.0,20.0,35.23809523809524,80.0,20.0,70.0,40.0,35.714285714285715,20.47619047619047,76.66666666666667,9.523809523809524,39.04761904761905,70.47619047619048,20.0,73.33333333333333,20.0,20.0,20.0,20.0,10.714285714285714,84.47619047619048,20.0,19.047619047619047,58.095238095238095,17.61904761904762,5.0
fitness trainer,40.0,61.95238095238095,8.571428571428571,62.38095238095238,80.0,70.95238095238095,30.0,80.0,19.52380952380953,95.0,37.142857142857146,19.047619047619047,20.0,20.0,20.0,40.0,85.23809523809524,92.14285714285714,80.0,70.66666666666667,40.0,19.52380952380953,80.0,80.23809523809524,81.52380952380952,79.52380952380952,86.42857142857143,82.14285714285714,80.0,40.0,20.0,40.0,40.0,68.0952380952381,74.28571428571429,66.66666666666667,65.23809523809524,80.0,20.0,39.04761904761905,40.95238095238095,57.61904761904762,80.71428571428571,40.0,40.0,20.0,20.0,85.0,80.0,20.0,20.0,76.19047619047619,80.0,80.23809523809524,90.71428571428572,10.952380952380953,80.0,59.523809523809526,20.0,0.0,90.0,35.714285714285715,20.0,10.0,38.095238095238095,68.95238095238095
psychologist,95.0,49.523809523809526,61.42857142857143,80.23809523809524,17.142857142857142,80.23809523809524,55.23809523809524,80.0,9.285714285714286,69.04761904761905,20.0,20.0,10.714285714285714,80.0,80.23809523809524,77.14285714285714,88.0952380952381,50.476190476190474,40.0,39.523809523809526,58.095238095238095,79.04761904761905,80.23809523809524,80.71428571428571,80.0,66.66666666666667,80.0,71.9047619047619,80.23809523809524,70.47619047619048,20.0,67.61904761904762,90.0,39.523809523809526,83.57142857142857,80.47619047619048,80.0,77.14285714285714,80.0,80.0,45.714285714285715,20.0,66.66666666666667,87.14285714285714,80.0,20.0,67.14285714285714,80.0,36.666666666666664,79.52380952380952,20.0,48.57142857142857,80.23809523809524,40.0,20.0,50.95238095238095,80.0,80.0,43.80952380952381,6.190476190476191,85.42857142857143,80.0,15.238095238095235,40.95238095238095,20.0,40.95238095238095
actor,59.04761904761905,71.57142857142857,14.285714285714286,41.904761904761905,77.14285714285714,26.666666666666668,42.857142857142854,80.0,66.38095238095238,80.0,77.61904761904762,67.95238095238095,55.714285714285715,40.0,79.04761904761905,87.95238095238095,36.19047619047619,41.42857142857143,59.04761904761905,20.952380952380953,80.0,20.0,23.333333333333332,20.47619047619047,81.19047619047619,80.23809523809524,82.95238095238095,30.47619047619047,79.52380952380952,42.857142857142854,43.80952380952381,80.0,80.0,44.285714285714285,37.142857142857146,25.238095238095237,80.0,86.85714285714286,20.0,30.0,66.66666666666667,78.57142857142857,70.95238095238095,31.904761904761905,74.28571428571429,20.0,20.0,84.52380952380952,80.0,20.0,80.0,78.57142857142857,69.04761904761905,80.23809523809524,70.95238095238095,20.0,80.23809523809524,69.52380952380952,80.0,41.904761904761905,40.0,83.42857142857143,20.0,5.238095238095238,69.85714285714286,79.52380952380952
historian,90.71428571428572,39.04761904761905,79.04761904761905,68.0952380952381,12.857142857142858,80.47619047619048,40.0,48.095238095238095,9.047619047619047,30.952380952380953,20.0,27.61904761904762,4.0476190476190474,67.61904761904762,40.0,42.857142857142854,80.0,25.238095238095237,20.0,20.0,25.238095238095237,79.04761904761905,81.42857142857143,83.76190476190476,79.04761904761905,40.0,59.523809523809526,43.80952380952381,61.42857142857143,40.0,20.0,40.95238095238095,63.80952380952381,43.333333333333336,82.85714285714286,83.9047619047619,46.666666666666664,37.142857142857146,79.52380952380952,40.476190476190474,40.0,20.0,70.0,80.71428571428571,64.28571428571429,40.0,80.0,79.04761904761905,20.952380952380953,79.52380952380952,20.0,39.523809523809526,70.95238095238095,20.0,11.904761904761903,66.19047619047619,22.38095238095238,40.0,40.0,20.0,82.0952380952381,42.857142857142854,20.0,71.61904761904762,18.095238095238095,19.047619047619047
DJ,40.0,69.0,18.571428571428573,33.333333333333336,83.61904761904762,20.0,21.904761904761905,48.57142857142857,67.9047619047619,88.66666666666667,73.80952380952381,49.04761904761905,18.571428571428573,19.52380952380953,20.0,89.0,40.0,50.0,40.0,20.0,80.33333333333333,0.4761904761904761,40.0,40.0,80.0,80.0,80.47619047619048,46.666666666666664,79.52380952380952,40.0,19.047619047619047,79.52380952380952,28.095238095238095,33.80952380952381,40.0,20.47619047619047,80.23809523809524,83.66666666666667,18.571428571428573,20.0,80.0,80.0,80.0,20.0,40.0,9.047619047619047,19.52380952380953,85.0952380952381,80.47619047619048,20.0,80.0,80.0,40.0,80.0,20.0,10.0,86.80952380952381,49.523809523809526,73.19047619047619,39.04761904761905,40.95238095238095,80.0,14.285714285714286,0.0,67.66666666666667,71.47619047619048
diplomat,90.0,55.714285714285715,20.0,80.0,10.476190476190476,89.52380952380952,19.047619047619047,90.95238095238096,6.666666666666667,50.476190476190474,20.0,7.619047619047619,52.857142857142854,80.0,80.23809523809524,40.0,88.80952380952381,43.333333333333336,40.0,20.0,20.0,80.0,89.52380952380952,86.9047619047619,80.23809523809524,82.38095238095238,86.42857142857143,80.0,89.28571428571429,80.0,20.0,80.0,88.57142857142857,20.0,86.19047619047619,84.04761904761905,50.0,86.42857142857143,81.42857142857143,80.0,39.523809523809526,20.0,20.47619047619047,89.04761904761905,80.0,66.66666666666667,20.0,40.0,40.0,83.80952380952381,71.42857142857143,80.0,92.85714285714286,60.95238095238095,20.0,20.0,92.14285714285714,80.0,20.0,3.3333333333333335,81.76190476190476,41.904761904761905,6.428571428571429,69.52380952380952,20.0,36.666666666666664
environmental activist,80.0,57.142857142857146,39.523809523809526,80.0,63.80952380952381,80.0,70.47619047619048,80.0,34.76190476190476,90.71428571428572,20.47619047619047,39.523809523809526,13.333333333333334,72.85714285714286,80.0,80.0,80.47619047619048,70.95238095238095,80.0,65.71428571428571,80.0,28.571428571428573,52.38095238095238,55.23809523809524,80.0,46.666666666666664,79.52380952380952,40.95238095238095,76.19047619047619,80.0,66.19047619047619,41.904761904761905,80.0,72.38095238095238,78.57142857142857,76.66666666666667,80.0,70.0,39.04761904761905,84.52380952380952,77.14285714285714,69.04761904761905,80.71428571428571,46.19047619047619,82.47619047619048,9.761904761904765,37.61904761904762,85.71428571428571,80.0,73.80952380952381,20.0,20.952380952380953,80.0,40.0,20.0,34.76190476190476,79.52380952380952,74.76190476190476,69.04761904761905,12.857142857142858,80.0,79.52380952380952,20.0,39.523809523809526,11.428571428571429,20.0
music producer,80.0,69.52380952380952,63.333333333333336,39.523809523809526,70.95238095238095,70.95238095238095,40.0,71.42857142857143,34.76190476190476,80.0,39.04761904761905,40.0,36.666666666666664,20.952380952380953,51.904761904761905,90.95238095238096,69.04761904761905,58.095238095238095,30.952380952380953,70.95238095238095,80.0,20.0,80.0,67.61904761904762,80.71428571428571,62.38095238095238,80.0,80.0,43.80952380952381,39.523809523809526,20.0,70.0,41.904761904761905,40.0,40.95238095238095,80.0,87.42857142857143,80.0,27.61904761904762,20.0,80.0,74.76190476190476,79.52380952380952,65.23809523809524,70.0,20.0,72.38095238095238,84.47619047619048,80.0,35.714285714285715,79.04761904761905,40.0,68.57142857142857,40.0,18.571428571428573,20.0,40.0,20.47619047619047,76.19047619047619,20.0,80.0,82.61904761904762,18.095238095238095,20.0,41.904761904761905,69.57142857142857
fashion designer,52.38095238095238,77.61904761904762,10.476190476190476,40.0,26.666666666666668,40.95238095238095,20.0,54.285714285714285,38.57142857142857,74.28571428571429,34.76190476190476,20.0,11.428571428571429,69.52380952380952,80.0,95.0,37.142857142857146,20.0,20.0,70.0,80.0,20.0,76.66666666666667,20.0,81.19047619047619,80.23809523809524,80.23809523809524,28.571428571428573,63.80952380952381,40.0,20.0,80.0,45.714285714285715,36.19047619047619,40.0,80.71428571428571,89.28571428571429,81.42857142857143,20.0,20.0,88.19047619047619,80.0,77.14285714285714,20.0,77.14285714285714,11.428571428571429,20.0,86.19047619047619,79.52380952380952,20.0,82.61904761904762,40.0,40.0,80.0,17.61904761904762,20.0,80.0,40.0,80.0,10.476190476190476,49.523809523809526,90.0,8.80952380952381,0.0,69.85714285714286,78.57142857142857
photographer,75.71428571428571,39.523809523809526,33.333333333333336,60.0,20.0,80.0,20.0,27.61904761904762,18.095238095238095,80.0,24.761904761904763,30.0,9.047619047619047,40.95238095238095,48.57142857142857,87.42857142857143,65.71428571428571,38.095238095238095,39.523809523809526,20.0,71.14285714285714,53.333333333333336,80.0,74.28571428571429,80.0,65.47619047619048,80.0,72.38095238095238,64.76190476190476,40.0,20.0,42.857142857142854,47.61904761904762,30.0,65.71428571428571,80.23809523809524,80.0,67.47619047619048,40.0,40.0,80.0,48.57142857142857,70.0,65.71428571428571,69.04761904761905,20.47619047619047,70.95238095238095,80.0,80.0,40.0,40.0,40.0,59.04761904761905,42.857142857142854,20.0,38.095238095238095,40.0,36.666666666666664,68.0952380952381,17.61904761904762,80.0,80.0,10.952380952380953,20.0,21.904761904761905,41.904761904761905
soldier,60.0,40.0,10.0,37.61904761904762,65.71428571428571,80.0,40.0,40.0,20.0,90.95238095238096,20.0,1.4285714285714286,5.714285714285714,20.0,20.0,20.0,80.0,91.1904761904762,92.85714285714286,38.57142857142857,20.0,20.0,90.0,88.47619047619048,80.71428571428571,27.142857142857142,87.0952380952381,81.19047619047619,36.666666666666664,69.04761904761905,19.047619047619047,20.0,29.52380952380953,77.61904761904762,82.85714285714286,80.0,40.0,62.857142857142854,70.95238095238095,80.0,20.0,28.571428571428573,80.0,80.0,30.0,80.0,21.904761904761905,80.0,80.23809523809524,40.0,11.904761904761903,20.47619047619047,80.0,40.0,80.95238095238095,12.857142857142858,20.0,20.0,40.0,0.0,90.47619047619048,20.47619047619047,40.95238095238095,20.47619047619047,10.0,11.904761904761903
fashion model,20.0,75.23809523809524,4.523809523809524,20.0,20.0,20.0,18.571428571428573,24.285714285714285,69.28571428571429,80.47619047619048,20.0,19.52380952380953,20.0,35.23809523809524,23.333333333333332,80.0,20.0,20.0,20.0,20.47619047619047,75.23809523809524,20.0,20.952380952380953,20.0,80.0,83.04761904761905,88.0952380952381,20.0,39.04761904761905,20.0,60.23809523809524,40.0,20.0,20.0,20.47619047619047,28.095238095238095,40.0,85.0,20.0,20.0,41.42857142857143,74.76190476190476,23.333333333333332,20.0,20.0,6.904761904761905,19.52380952380953,80.0,57.142857142857146,20.0,81.66666666666667,20.0,20.952380952380953,96.57142857142856,28.571428571428573,20.0,80.0,20.952380952380953,79.04761904761905,20.0,20.47619047619047,70.0,14.761904761904765,2.857142857142857,76.66666666666667,79.52380952380952
