group,intelligent,arrogant,nerdy,kind,loud,careful,argumentative,persuasive,immature,active,funny,disorganized,dishonest,gentle,sensitive,creative,helpful,strong,brave,bossy,unconventional,quiet,organized,reliable,ambitious,charming,confident,efficient,friendly,generous,naive,witty,empathetic,stubborn,trustworthy,meticulous,inventive,charismatic,reserved,altruistic,original,impulsive,zealous,rational,idealistic,conservative,solitary,passionate,adventurous,cautious,extravagant,jovial,cooperative,attractive,muscular,shy,social,warm,moody,lazy,hardworking,imaginative,narrow-minded,boring,selfish,narcissistic
kindergarten teacher,80,8.80952380952381,20,94.76190476190476,60.95238095238095,89.76190476190476,20,80,20,80,72.85714285714286,20,4.285714285714286,89.76190476190476,89.52380952380952,84.28571428571429,95,37.61904761904762,41.42857142857143,79.52380952380952,20,79.04761904761905,90,90.71428571428572,39.523809523809526,85.23809523809524,80,72.85714285714286,94.52380952380952,89.76190476190476,79.04761904761905,77.61904761904762,94.76190476190476,62.38095238095238,93.8095238095238,87.61904761904762,80,80,77.14285714285714,91.1904761904762,39.523809523809526,20,75.23809523809524,61.42857142857143,81.19047619047619,20,12.38095238095238,89.04761904761905,20,80.47619047619048,20,86.28571428571429,92.38095238095238,62.38095238095238,10.476190476190476,80,91.9047619047619,89.76190476190476,20,2.380952380952381,91.66666666666669,83.57142857142857,10.238095238095235,61.142857142857146,5.714285714285714,5.714285714285714
drummer,40,68.66666666666667,20,40,82.47619047619048,20,60.666666666666664,21.428571428571427,69.71428571428571,89.61904761904762,75.42857142857143,71.14285714285714,19.047619047619047,20,21.904761904761905,80,40,80,66.19047619047619,38.095238095238095,80,0.9523809523809524,29.047619047619047,34.285714285714285,76.66666666666667,78.0952380952381,80,39.523809523809526,74.76190476190476,40,37.142857142857146,69.52380952380952,40,70.47619047619048,40,26.666666666666668,80,80,20,38.095238095238095,70.95238095238095,80,80,20,68.57142857142857,20,20,85.23809523809524,80,20,76.19047619047619,79.52380952380952,60.476190476190474,67.61904761904762,62.38095238095238,20,80,64.76190476190476,79.04761904761905,58.095238095238095,80,80,19.52380952380953,19.52380952380953,44.142857142857146,69.0952380952381
chef,62.38095238095238,69.85714285714286,13.333333333333334,52.38095238095238,73.80952380952381,80,69.52380952380952,34.285714285714285,12.857142857142858,80,39.523809523809526,19.047619047619047,9.047619047619047,20,20,80.71428571428571,80,70.95238095238095,40,70,55.714285714285715,20,87.61904761904762,80,80,68.57142857142857,80,80,67.14285714285714,69.52380952380952,18.095238095238095,45.23809523809524,39.04761904761905,70,69.52380952380952,84.76190476190476,80,74.76190476190476,20,36.666666666666664,72.38095238095238,69.04761904761905,80,40,26.666666666666668,20,20,84.28571428571429,64.76190476190476,25.238095238095237,70,78.57142857142857,60.95238095238095,33.80952380952381,35.23809523809524,19.52380952380953,40,60,70,0,87.71428571428571,79.52380952380952,18.571428571428573,19.047619047619047,20.47619047619047,46.666666666666664
bartender,39.04761904761905,40,9.761904761904765,69.52380952380952,80,40,70.47619047619048,80,59.857142857142854,80.23809523809524,80,53.80952380952381,39.523809523809526,21.428571428571427,22.857142857142858,71.42857142857143,80,68.80952380952381,39.523809523809526,27.61904761904762,75.23809523809524,20,47.61904761904762,40.95238095238095,40,80,80,66.66666666666667,80.47619047619048,67.14285714285714,20,80,79.52380952380952,42.857142857142854,40,27.61904761904762,71.9047619047619,80,20,40,41.904761904761905,75.23809523809524,63.333333333333336,38.57142857142857,20.952380952380953,20,20,80,79.52380952380952,20,51.42857142857143,80.57142857142857,80,77.14285714285714,40.95238095238095,20,88.33333333333333,80,66.66666666666667,28.571428571428573,71.9047619047619,53.333333333333336,20,20,38.095238095238095,40
pilot,89.28571428571429,68.57142857142857,20,59.04761904761905,20,91.42857142857144,20,40,8.333333333333334,85.47619047619048,20,1.1904761904761905,4.285714285714286,31.428571428571427,20,22.38095238095238,80,80.71428571428571,86.28571428571429,35.714285714285715,27.61904761904762,42.38095238095238,90,94.04761904761904,87.71428571428571,77.61904761904762,89.04761904761905,89.52380952380952,70,40,8.571428571428571,40,27.61904761904762,44.285714285714285,90.23809523809524,89.28571428571429,74.76190476190476,80,68.57142857142857,45.714285714285715,40,20,56.19047619047619,89.04761904761905,38.095238095238095,73.33333333333333,56.666666666666664,63.333333333333336,86.9047619047619,86.66666666666667,39.04761904761905,43.333333333333336,80,77.61904761904762,39.523809523809526,20,20.952380952380953,20.47619047619047,20,1.6666666666666667,90,40,11.904761904761903,20,20,40.95238095238095
social worker,80,18.095238095238095,20,90,20,82.85714285714286,37.142857142857146,79.52380952380952,14.285714285714286,80,20.47619047619047,30,4.0476190476190474,81.19047619047619,84.04761904761905,65.23809523809524,94.04761904761904,70.47619047619048,80,70,52.38095238095238,73.33333333333333,80,84.76190476190476,80,80,72.38095238095238,55.23809523809524,90,88.33333333333333,70.47619047619048,40,94.28571428571428,69.52380952380952,87.14285714285714,80,53.333333333333336,72.38095238095238,79.52380952380952,90.71428571428572,40,28.095238095238095,80,79.04761904761905,82.38095238095238,20,18.095238095238095,87.14285714285714,33.80952380952381,80,19.52380952380953,80,90.47619047619048,40,20,67.14285714285714,90,86.19047619047619,39.523809523809526,0.238095238095238,90.47619047619048,70.47619047619048,5.476190476190476,40,0.4761904761904761,7.857142857142857
veterinarian,90,20,20,88.0952380952381,14.761904761904765,89.04761904761905,20,40,9.285714285714286,80,20,13.571428571428571,4.761904761904762,80,80,39.523809523809526,89.66666666666667,64.28571428571429,67.61904761904762,20.47619047619047,20,62.38095238095238,83,89.76190476190476,80,74.28571428571429,80,80,84.28571428571429,80,20,40,86.04761904761905,32.38095238095238,89.76190476190476,82.61904761904762,60,48.57142857142857,57.61904761904762,86.52380952380952,40,20,70.95238095238095,80.71428571428571,80,52.857142857142854,21.428571428571427,83.0952380952381,43.80952380952381,78.57142857142857,20,72.38095238095238,81.19047619047619,62.38095238095238,27.142857142857142,33.333333333333336,40.95238095238095,80,20,0.7142857142857143,89.76190476190476,41.904761904761905,11.19047619047619,20,10.952380952380953,8.333333333333334
journalist,80,59.714285714285715,20,37.61904761904762,40,67.14285714285714,68.0952380952381,80,24.285714285714285,80,20,39.523809523809526,36.666666666666664,20,28.095238095238095,72.38095238095238,61.42857142857143,41.904761904761905,70.95238095238095,31.428571428571427,49.523809523809526,20,61.904761904761905,40,80,40,80,59.04761904761905,40,20,20,73.80952380952381,40,56.666666666666664,40,71.9047619047619,69.52380952380952,61.42857142857143,20,39.523809523809526,52.857142857142854,68.0952380952381,73.33333333333333,69.52380952380952,69.52380952380952,20,39.04761904761905,80,80,39.04761904761905,20,21.428571428571427,40,40,19.52380952380953,20,60.95238095238095,23.333333333333332,40,15.714285714285714,80,63.333333333333336,20,28.571428571428573,39.04761904761905,40
police officer,69.04761904761905,61.04761904761905,9.761904761904765,52.38095238095238,50,80,45.714285714285715,62.857142857142854,9.285714285714286,85.19047619047619,20,15.238095238095235,20,20,20,20,80.47619047619048,87.23809523809524,88.28571428571429,70,20,20,81.9047619047619,84.14285714285714,80,38.095238095238095,83.19047619047619,80,40,40,4.523809523809524,20,37.61904761904762,70,80,80,37.61904761904762,48.57142857142857,40,79.04761904761905,20,20.952380952380953,80,80,23.333333333333332,80,20,72.38095238095238,42.857142857142854,80,10,37.61904761904762,71.9047619047619,39.523809523809526,80,10.476190476190476,40,23.333333333333332,35.714285714285715,4.761904761904762,87.38095238095238,20,54.142857142857146,38.095238095238095,20,20
electrician,56.19047619047619,20,20,40,22.857142857142858,80,20,20,11.428571428571429,80,20,20,15.238095238095235,20,20,20.952380952380953,80.23809523809524,80,48.57142857142857,12.61904761904762,20,39.04761904761905,80,84.28571428571429,60,20,76.66666666666667,80,57.142857142857146,24.285714285714285,14.523809523809524,20,20,40,80,80,63.80952380952381,20,39.04761904761905,21.428571428571427,20,20,35.23809523809524,80,20,70,40,35.714285714285715,20.47619047619047,76.66666666666667,9.523809523809524,39.04761904761905,70.47619047619048,20,73.33333333333333,20,20,20,20,10.714285714285714,84.47619047619048,20,19.047619047619047,58.095238095238095,17.61904761904762,5
fitness trainer,40,61.95238095238095,8.571428571428571,62.38095238095238,80,70.95238095238095,30,80,19.52380952380953,95,37.142857142857146,19.047619047619047,20,20,20,40,85.23809523809524,92.14285714285714,80,70.66666666666667,40,19.52380952380953,80,80.23809523809524,81.52380952380952,79.52380952380952,86.42857142857143,82.14285714285714,80,40,20,40,40,68.0952380952381,74.28571428571429,66.66666666666667,65.23809523809524,80,20,39.04761904761905,40.95238095238095,57.61904761904762,80.71428571428571,40,40,20,20,85,80,20,20,76.19047619047619,80,80.23809523809524,90.71428571428572,10.952380952380953,80,59.523809523809526,20,0,90,35.714285714285715,20,10,38.095238095238095,68.95238095238095
psychologist,95,49.523809523809526,61.42857142857143,80.23809523809524,17.142857142857142,80.23809523809524,55.23809523809524,80,9.285714285714286,69.04761904761905,20,20,10.714285714285714,80,80.23809523809524,77.14285714285714,88.0952380952381,50.476190476190474,40,39.523809523809526,58.095238095238095,79.04761904761905,80.23809523809524,80.71428571428571,80,66.66666666666667,80,71.9047619047619,80.23809523809524,70.47619047619048,20,67.61904761904762,90,39.523809523809526,83.57142857142857,80.47619047619048,80,77.14285714285714,80,80,45.714285714285715,20,66.66666666666667,87.14285714285714,80,20,67.14285714285714,80,36.666666666666664,79.52380952380952,20,48.57142857142857,80.23809523809524,40,20,50.95238095238095,80,80,43.80952380952381,6.190476190476191,85.42857142857143,80,15.238095238095235,40.95238095238095,20,40.95238095238095
actor,59.04761904761905,71.57142857142857,14.285714285714286,41.904761904761905,77.14285714285714,26.666666666666668,42.857142857142854,80,66.38095238095238,80,77.61904761904762,67.95238095238095,55.714285714285715,40,79.04761904761905,87.95238095238095,36.19047619047619,41.42857142857143,59.04761904761905,20.952380952380953,80,20,23.333333333333332,20.47619047619047,81.19047619047619,80.23809523809524,82.95238095238095,30.47619047619047,79.52380952380952,42.857142857142854,43.80952380952381,80,80,44.285714285714285,37.142857142857146,25.238095238095237,80,86.85714285714286,20,30,66.66666666666667,78.57142857142857,70.95238095238095,31.904761904761905,74.28571428571429,20,20,84.52380952380952,80,20,80,78.57142857142857,69.04761904761905,80.23809523809524,70.95238095238095,20,80.23809523809524,69.52380952380952,80,41.904761904761905,40,83.42857142857143,20,5.238095238095238,69.85714285714286,79.52380952380952
historian,90.71428571428572,39.04761904761905,79.04761904761905,68.0952380952381,12.857142857142858,80.47619047619048,40,48.095238095238095,9.047619047619047,30.952380952380953,20,27.61904761904762,4.0476190476190474,67.61904761904762,40,42.857142857142854,80,25.238095238095237,20,20,25.238095238095237,79.04761904761905,81.42857142857143,83.76190476190476,79.04761904761905,40,59.523809523809526,43.80952380952381,61.42857142857143,40,20,40.95238095238095,63.80952380952381,43.333333333333336,82.85714285714286,83.9047619047619,46.666666666666664,37.142857142857146,79.52380952380952,40.476190476190474,40,20,70,80.71428571428571,64.28571428571429,40,80,79.04761904761905,20.952380952380953,79.52380952380952,20,39.523809523809526,70.95238095238095,20,11.904761904761903,66.19047619047619,22.38095238095238,40,40,20,82.0952380952381,42.857142857142854,20,71.61904761904762,18.095238095238095,19.047619047619047
DJ,40,69,18.571428571428573,33.333333333333336,83.61904761904762,20,21.904761904761905,48.57142857142857,67.9047619047619,88.66666666666667,73.80952380952381,49.04761904761905,18.571428571428573,19.52380952380953,20,89,40,50,40,20,80.33333333333333,0.4761904761904761,40,40,80,80,80.47619047619048,46.666666666666664,79.52380952380952,40,19.047619047619047,79.52380952380952,28.095238095238095,33.80952380952381,40,20.47619047619047,80.23809523809524,83.66666666666667,18.571428571428573,20,80,80,80,20,40,9.047619047619047,19.52380952380953,85.0952380952381,80.47619047619048,20,80,80,40,80,20,10,86.80952380952381,49.523809523809526,73.19047619047619,39.04761904761905,40.95238095238095,80,14.285714285714286,0,67.66666666666667,71.47619047619048
diplomat,90,55.714285714285715,20,80,10.476190476190476,89.52380952380952,19.047619047619047,90.95238095238096,6.666666666666667,50.476190476190474,20,7.619047619047619,52.857142857142854,80,80.23809523809524,40,88.80952380952381,43.333333333333336,40,20,20,80,89.52380952380952,86.9047619047619,80.23809523809524,82.38095238095238,86.42857142857143,80,89.28571428571429,80,20,80,88.57142857142857,20,86.19047619047619,84.04761904761905,50,86.42857142857143,81.42857142857143,80,39.523809523809526,20,20.47619047619047,89.04761904761905,80,66.66666666666667,20,40,40,83.80952380952381,71.42857142857143,80,92.85714285714286,60.95238095238095,20,20,92.14285714285714,80,20,3.3333333333333335,81.76190476190476,41.904761904761905,6.428571428571429,69.52380952380952,20,36.666666666666664
environmental activist,80,57.142857142857146,39.523809523809526,80,63.80952380952381,80,70.47619047619048,80,34.76190476190476,90.71428571428572,20.47619047619047,39.523809523809526,13.333333333333334,72.85714285714286,80,80,80.47619047619048,70.95238095238095,80,65.71428571428571,80,28.571428571428573,52.38095238095238,55.23809523809524,80,46.666666666666664,79.52380952380952,40.95238095238095,76.19047619047619,80,66.19047619047619,41.904761904761905,80,72.38095238095238,78.57142857142857,76.66666666666667,80,70,39.04761904761905,84.52380952380952,77.14285714285714,69.04761904761905,80.71428571428571,46.19047619047619,82.47619047619048,9.761904761904765,37.61904761904762,85.71428571428571,80,73.80952380952381,20,20.952380952380953,80,40,20,34.76190476190476,79.52380952380952,74.76190476190476,69.04761904761905,12.857142857142858,80,79.52380952380952,20,39.523809523809526,11.428571428571429,20
music producer,80,69.52380952380952,63.333333333333336,39.523809523809526,70.95238095238095,70.95238095238095,40,71.42857142857143,34.76190476190476,80,39.04761904761905,40,36.666666666666664,20.952380952380953,51.904761904761905,90.95238095238096,69.04761904761905,58.095238095238095,30.952380952380953,70.95238095238095,80,20,80,67.61904761904762,80.71428571428571,62.38095238095238,80,80,43.80952380952381,39.523809523809526,20,70,41.904761904761905,40,40.95238095238095,80,87.42857142857143,80,27.61904761904762,20,80,74.76190476190476,79.52380952380952,65.23809523809524,70,20,72.38095238095238,84.47619047619048,80,35.714285714285715,79.04761904761905,40,68.57142857142857,40,18.571428571428573,20,40,20.47619047619047,76.19047619047619,20,80,82.61904761904762,18.095238095238095,20,41.904761904761905,69.57142857142857
fashion designer,52.38095238095238,77.61904761904762,10.476190476190476,40,26.666666666666668,40.95238095238095,20,54.285714285714285,38.57142857142857,74.28571428571429,34.76190476190476,20,11.428571428571429,69.52380952380952,80,95,37.142857142857146,20,20,70,80,20,76.66666666666667,20,81.19047619047619,80.23809523809524,80.23809523809524,28.571428571428573,63.80952380952381,40,20,80,45.714285714285715,36.19047619047619,40,80.71428571428571,89.28571428571429,81.42857142857143,20,20,88.19047619047619,80,77.14285714285714,20,77.14285714285714,11.428571428571429,20,86.19047619047619,79.52380952380952,20,82.61904761904762,40,40,80,17.61904761904762,20,80,40,80,10.476190476190476,49.523809523809526,90,8.80952380952381,0,69.85714285714286,78.57142857142857
photographer,75.71428571428571,39.523809523809526,33.333333333333336,60,20,80,20,27.61904761904762,18.095238095238095,80,24.761904761904763,30,9.047619047619047,40.95238095238095,48.57142857142857,87.42857142857143,65.71428571428571,38.095238095238095,39.523809523809526,20,71.14285714285714,53.333333333333336,80,74.28571428571429,80,65.47619047619048,80,72.38095238095238,64.76190476190476,40,20,42.857142857142854,47.61904761904762,30,65.71428571428571,80.23809523809524,80,67.47619047619048,40,40,80,48.57142857142857,70,65.71428571428571,69.04761904761905,20.47619047619047,70.95238095238095,80,80,40,40,40,59.04761904761905,42.857142857142854,20,38.095238095238095,40,36.666666666666664,68.0952380952381,17.61904761904762,80,80,10.952380952380953,20,21.904761904761905,41.904761904761905
soldier,60,40,10,37.61904761904762,65.71428571428571,80,40,40,20,90.95238095238096,20,1.4285714285714286,5.714285714285714,20,20,20,80,91.1904761904762,92.85714285714286,38.57142857142857,20,20,90,88.47619047619048,80.71428571428571,27.142857142857142,87.0952380952381,81.19047619047619,36.666666666666664,69.04761904761905,19.047619047619047,20,29.52380952380953,77.61904761904762,82.85714285714286,80,40,62.857142857142854,70.95238095238095,80,20,28.571428571428573,80,80,30,80,21.904761904761905,80,80.23809523809524,40,11.904761904761903,20.47619047619047,80,40,80.95238095238095,12.857142857142858,20,20,40,0,90.47619047619048,20.47619047619047,40.95238095238095,20.47619047619047,10,11.904761904761903
fashion model,20,75.23809523809524,4.523809523809524,20,20,20,18.571428571428573,24.285714285714285,69.28571428571429,80.47619047619048,20,19.52380952380953,20,35.23809523809524,23.333333333333332,80,20,20,20,20.47619047619047,75.23809523809524,20,20.952380952380953,20,80,83.04761904761905,88.0952380952381,20,39.04761904761905,20,60.23809523809524,40,20,20,20.47619047619047,28.095238095238095,40,85,20,20,41.42857142857143,74.76190476190476,23.333333333333332,20,20,6.904761904761905,19.52380952380953,80,57.142857142857146,20,81.66666666666667,20,20.952380952380953,96.57142857142856,28.571428571428573,20,80,20.952380952380953,79.04761904761905,20,20.47619047619047,70,14.761904761904765,2.857142857142857,76.66666666666667,79.52380952380952
